,Total - Cantabria - Viajeros,Total - Cantabria - Pernoctaciones,Total - Cantabria - Estancia media,Total - Cantabria - Grado de ocupación,Total - Cantabria - Establecimientos,Total - Cantabria - Plazas,Total - Asón-Agüera - Viajeros,Total - Asón-Agüera - Pernoctaciones,Total - Asón-Agüera - Estancia media,Total - Asón-Agüera - Grado de ocupación,Total - Asón-Agüera - Establecimientos,Total - Asón-Agüera - Plazas,Total - Besaya - Viajeros,Total - Besaya - Pernoctaciones,Total - Besaya - Estancia media,Total - Besaya - Grado de ocupación,Total - Besaya - Establecimientos,Total - Besaya - Plazas,Total - Campoo - Viajeros,Total - Campoo - Pernoctaciones,Total - Campoo - Estancia media,Total - Campoo - Grado de ocupación,Total - Campoo - Establecimientos,Total - Campoo - Plazas,Total - Costa Central - Viajeros,Total - Costa Central - Pernoctaciones,Total - Costa Central - Estancia media,Total - Costa Central - Grado de ocupación,Total - Costa Central - Establecimientos,Total - Costa Central - Plazas,Total - Liébana - Viajeros,Total - Liébana - Pernoctaciones,Total - Liébana - Estancia media,Total - Liébana - Grado de ocupación,Total - Liébana - Establecimientos,Total - Liébana - Plazas,Total - Valles Pasiegos/ Pas-Pisueña-Miera - Viajeros,Total - Valles Pasiegos/ Pas-Pisueña-Miera - Pernoctaciones,Total - Valles Pasiegos/ Pas-Pisueña-Miera - Estancia media,Total - Valles Pasiegos/ Pas-Pisueña-Miera - Grado de ocupación,Total - Valles Pasiegos/ Pas-Pisueña-Miera - Establecimientos,Total - Valles Pasiegos/ Pas-Pisueña-Miera - Plazas,Total - Saja-Nansa - Viajeros,Total - Saja-Nansa - Pernoctaciones,Total - Saja-Nansa - Estancia media,Total - Saja-Nansa - Grado de ocupación,Total - Saja-Nansa - Establecimientos,Total - Saja-Nansa - Plazas,Total - Santander - Viajeros,Total - Santander - Pernoctaciones,Total - Santander - Estancia media,Total - Santander - Grado de ocupación,Total - Santander - Establecimientos,Total - Santander - Plazas,Total - Trasmiera - Viajeros,Total - Trasmiera - Pernoctaciones,Total - Trasmiera - Estancia media,Total - Trasmiera - Grado de ocupación,Total - Trasmiera - Establecimientos,Total - Trasmiera - Plazas,Estrellas de oro - Cantabria - Viajeros,Estrellas de oro - Cantabria - Pernoctaciones,Estrellas de oro - Cantabria - Estancia media,Estrellas de oro - Cantabria - Grado de ocupación,Estrellas de oro - Cantabria - Establecimientos,Estrellas de oro - Cantabria - Plazas,Estrellas de oro - Asón-Agüera - Viajeros,Estrellas de oro - Asón-Agüera - Pernoctaciones,Estrellas de oro - Asón-Agüera - Estancia media,Estrellas de oro - Asón-Agüera - Grado de ocupación,Estrellas de oro - Asón-Agüera - Establecimientos,Estrellas de oro - Asón-Agüera - Plazas,Estrellas de oro - Besaya - Viajeros,Estrellas de oro - Besaya - Pernoctaciones,Estrellas de oro - Besaya - Estancia media,Estrellas de oro - Besaya - Grado de ocupación,Estrellas de oro - Besaya - Establecimientos,Estrellas de oro - Besaya - Plazas,Estrellas de oro - Campoo - Viajeros,Estrellas de oro - Campoo - Pernoctaciones,Estrellas de oro - Campoo - Estancia media,Estrellas de oro - Campoo - Grado de ocupación,Estrellas de oro - Campoo - Establecimientos,Estrellas de oro - Campoo - Plazas,Estrellas de oro - Costa Central - Viajeros,Estrellas de oro - Costa Central - Pernoctaciones,Estrellas de oro - Costa Central - Estancia media,Estrellas de oro - Costa Central - Grado de ocupación,Estrellas de oro - Costa Central - Establecimientos,Estrellas de oro - Costa Central - Plazas,Estrellas de oro - Liébana - Viajeros,Estrellas de oro - Liébana - Pernoctaciones,Estrellas de oro - Liébana - Estancia media,Estrellas de oro - Liébana - Grado de ocupación,Estrellas de oro - Liébana - Establecimientos,Estrellas de oro - Liébana - Plazas,Estrellas de oro - Valles Pasiegos/ Pas-Pisueña-Miera - Viajeros,Estrellas de oro - Valles Pasiegos/ Pas-Pisueña-Miera - Pernoctaciones,Estrellas de oro - Valles Pasiegos/ Pas-Pisueña-Miera - Estancia media,Estrellas de oro - Valles Pasiegos/ Pas-Pisueña-Miera - Grado de ocupación,Estrellas de oro - Valles Pasiegos/ Pas-Pisueña-Miera - Establecimientos,Estrellas de oro - Valles Pasiegos/ Pas-Pisueña-Miera - Plazas,Estrellas de oro - Saja-Nansa - Viajeros,Estrellas de oro - Saja-Nansa - Pernoctaciones,Estrellas de oro - Saja-Nansa - Estancia media,Estrellas de oro - Saja-Nansa - Grado de ocupación,Estrellas de oro - Saja-Nansa - Establecimientos,Estrellas de oro - Saja-Nansa - Plazas,Estrellas de oro - Santander - Viajeros,Estrellas de oro - Santander - Pernoctaciones,Estrellas de oro - Santander - Estancia media,Estrellas de oro - Santander - Grado de ocupación,Estrellas de oro - Santander - Establecimientos,Estrellas de oro - Santander - Plazas,Estrellas de oro - Trasmiera - Viajeros,Estrellas de oro - Trasmiera - Pernoctaciones,Estrellas de oro - Trasmiera - Estancia media,Estrellas de oro - Trasmiera - Grado de ocupación,Estrellas de oro - Trasmiera - Establecimientos,Estrellas de oro - Trasmiera - Plazas,Estrellas de plata - Cantabria - Viajeros,Estrellas de plata - Cantabria - Pernoctaciones,Estrellas de plata - Cantabria - Estancia media,Estrellas de plata - Cantabria - Grado de ocupación,Estrellas de plata - Cantabria - Establecimientos,Estrellas de plata - Cantabria - Plazas,Estrellas de plata - Asón-Agüera - Viajeros,Estrellas de plata - Asón-Agüera - Pernoctaciones,Estrellas de plata - Asón-Agüera - Estancia media,Estrellas de plata - Asón-Agüera - Grado de ocupación,Estrellas de plata - Asón-Agüera - Establecimientos,Estrellas de plata - Asón-Agüera - Plazas,Estrellas de plata - Besaya - Viajeros,Estrellas de plata - Besaya - Pernoctaciones,Estrellas de plata - Besaya - Estancia media,Estrellas de plata - Besaya - Grado de ocupación,Estrellas de plata - Besaya - Establecimientos,Estrellas de plata - Besaya - Plazas,Estrellas de plata - Campoo - Viajeros,Estrellas de plata - Campoo - Pernoctaciones,Estrellas de plata - Campoo - Estancia media,Estrellas de plata - Campoo - Grado de ocupación,Estrellas de plata - Campoo - Establecimientos,Estrellas de plata - Campoo - Plazas,Estrellas de plata - Costa Central - Viajeros,Estrellas de plata - Costa Central - Pernoctaciones,Estrellas de plata - Costa Central - Estancia media,Estrellas de plata - Costa Central - Grado de ocupación,Estrellas de plata - Costa Central - Establecimientos,Estrellas de plata - Costa Central - Plazas,Estrellas de plata - Liébana - Viajeros,Estrellas de plata - Liébana - Pernoctaciones,Estrellas de plata - Liébana - Estancia media,Estrellas de plata - Liébana - Grado de ocupación,Estrellas de plata - Liébana - Establecimientos,Estrellas de plata - Liébana - Plazas,Estrellas de plata - Valles Pasiegos/ Pas-Pisueña-Miera - Viajeros,Estrellas de plata - Valles Pasiegos/ Pas-Pisueña-Miera - Pernoctaciones,Estrellas de plata - Valles Pasiegos/ Pas-Pisueña-Miera - Estancia media,Estrellas de plata - Valles Pasiegos/ Pas-Pisueña-Miera - Grado de ocupación,Estrellas de plata - Valles Pasiegos/ Pas-Pisueña-Miera - Establecimientos,Estrellas de plata - Valles Pasiegos/ Pas-Pisueña-Miera - Plazas,Estrellas de plata - Saja-Nansa - Viajeros,Estrellas de plata - Saja-Nansa - Pernoctaciones,Estrellas de plata - Saja-Nansa - Estancia media,Estrellas de plata - Saja-Nansa - Grado de ocupación,Estrellas de plata - Saja-Nansa - Establecimientos,Estrellas de plata - Saja-Nansa - Plazas,Estrellas de plata - Santander - Viajeros,Estrellas de plata - Santander - Pernoctaciones,Estrellas de plata - Santander - Estancia media,Estrellas de plata - Santander - Grado de ocupación,Estrellas de plata - Santander - Establecimientos,Estrellas de plata - Santander - Plazas,Estrellas de plata - Trasmiera - Viajeros,Estrellas de plata - Trasmiera - Pernoctaciones,Estrellas de plata - Trasmiera - Estancia media,Estrellas de plata - Trasmiera - Grado de ocupación,Estrellas de plata - Trasmiera - Establecimientos,Estrellas de plata - Trasmiera - Plazas
2006-Enero,37834,65565,1.73,19.6,261,10769,3597,6204,1.72,19.95,24,1002,2736,4926,1.8,19.62,24,809,2683,6209,2.31,35.97,16,550,2954,5257,1.78,12.36,50,1372,149,256,1.72,3.71,9,223,1398,3792,2.71,29.48,15,414,535,695,1.3,4.26,26,526,20016,32163,1.61,22.62,65,4583,3766,6062,1.61,15.16,32,1289,31032,51247,1.65,21.5,85,7673,1949,3222,1.65,16.42,8,631,1791,3229,1.8,19.46,6,535,2210,5107,2.31,45.3,5,357,2450,4271,1.74,15.32,15,899,,,,,,,,,,,,,514,653,1.27,7.8,6,270,17573,27138,1.54,23.59,27,3708,3173,4322,1.36,15.35,11,908,6802,14318,2.1,14.91,176,3096,1648,2982,1.81,25.97,16,370,945,1697,1.8,19.94,18,274,473,1103,2.33,18.41,11,193,504,986,1.96,6.73,34,473,,,,,,,,,,,,,20,43,2.08,0.54,20,256,2443,5025,2.06,18.52,39,875,594,1741,2.93,14.72,20,381
2006-Febrero,46180,90758,1.97,26.2,261,12329,5116,8947,1.75,26.99,31,1183,2827,8533,3.02,37.47,14,813,2769,7116,2.57,45.65,16,542,4119,7369,1.79,14.79,44,1774,635,961,1.51,8.8,16,390,1942,5228,2.69,37.9,8,491,527,694,1.32,5.74,24,432,23147,38563,1.67,29.03,67,4735,5097,13348,2.62,24.15,40,1970,39236,72974,1.86,28.29,101,9173,3042,4755,1.56,24.67,9,688,2490,7730,3.1,39.88,7,692,2313,5775,2.5,55.1,6,360,3679,6361,1.73,16.47,21,1373,,,,,,,,,,,,,449,571,1.27,10.29,5,198,20742,33038,1.59,30.72,28,3832,4048,8720,2.15,21.78,17,1426,6944,17784,2.56,20.12,160,3156,2074,4192,2.02,30.2,22,495,338,803,2.38,23.72,7,121,456,1341,2.94,26.26,11,182,441,1008,2.29,8.99,23,400,,,,,,,,,,,,,79,123,1.56,1.88,19,233,2405,5525,2.3,21.85,39,903,1049,4628,4.41,30.39,23,544
2006-Marzo,67903,141567,2.08,30.87,324,14742,6017,13421,2.23,33.21,36,1301,4402,11451,2.6,37.03,27,997,2444,5769,2.36,32.87,17,562,7348,12973,1.77,19.59,48,2130,2172,4434,2.04,16.11,27,886,2846,7866,2.76,40.77,16,621,987,1515,1.54,7.57,26,646,30823,55181,1.79,36.65,73,4839,10864,28957,2.67,33.73,55,2760,59313,116511,1.96,34.13,123,10970,4222,8617,2.04,36.99,10,751,3634,10034,2.76,46.67,7,693,1961,4574,2.33,41.42,5,355,7058,12344,1.75,21.6,28,1837,1760,2780,1.58,16.26,8,550,2761,7180,2.6,45.38,6,509,867,1211,1.4,9.97,7,392,27547,48216,1.75,39.89,29,3884,9504,21554,2.27,34.62,22,1999,8590,25056,2.92,21.37,201,3772,1795,4804,2.68,28.07,26,550,768,1417,1.84,15.04,20,304,483,1194,2.47,18.35,12,207,291,629,2.17,6.92,20,293,412,1654,4.01,15.85,19,336,85,685,8.05,19.76,10,112,120,305,2.54,3.87,18,254,3276,6965,2.13,23.47,44,955,1360,7403,5.44,31.37,33,761
2006-Abril,103881,221868,2.14,42.2,377,17309,10000,17994,1.8,45.03,36,1315,7081,16603,2.34,67.69,14,814,2183,5199,2.38,30.72,17,556,15107,32733,2.17,35.73,77,3018,5066,11838,2.34,37.61,30,1031,3425,7741,2.26,38.08,18,676,3705,8259,2.23,24.98,38,1096,39337,78484,2,47.75,79,5399,17977,43019,2.39,41.85,69,3402,88285,181965,2.06,45.98,157,13029,6548,10450,1.6,44.33,11,779,6589,15447,2.34,74.05,7,693,1795,3866,2.15,35.64,6,354,13461,29681,2.21,39.16,40,2491,3630,7500,2.07,38.36,11,645,3322,7621,2.29,49.75,6,509,2382,4570,1.92,23.71,12,638,35380,68572,1.94,51.26,32,4387,15178,34258,2.26,44.71,33,2533,15596,39903,2.56,30.7,220,4280,3453,7544,2.18,46.04,25,536,493,1156,2.35,31.52,7,121,388,1333,3.44,21.93,12,203,1647,3052,1.85,19.31,37,527,1436,4338,3.02,36.38,19,386,103,120,1.16,2.39,12,167,1322,3688,2.79,26.76,26,458,3957,9912,2.5,32.4,47,1012,2798,8761,3.13,33.47,36,869
2006-Mayo,99932,204780,2.05,37.32,388,17602,9159,15354,1.68,38.92,32,1267,6614,15053,2.28,48.91,26,992,1957,3560,1.82,27.02,16,424,13966,30884,2.21,30.62,80,3236,7960,13496,1.7,38.47,33,1122,2385,7361,3.09,34.87,18,679,3099,6097,1.97,17.63,40,1115,39597,73960,1.87,43.3,76,5472,15195,39015,2.57,38.08,67,3296,83163,167935,2.02,41.58,155,12952,5550,8808,1.59,36.25,11,779,5803,13644,2.35,63.4,7,693,1665,2948,1.77,43.52,4,217,12818,28598,2.23,35.7,40,2568,5920,9069,1.53,42.64,11,680,2157,6412,2.97,40.47,6,509,1810,2895,1.6,14.69,12,635,34132,63485,1.86,45.61,33,4461,13307,32075,2.41,42.77,31,2410,16769,36845,2.2,25.45,233,4650,3609,6546,1.81,43.2,22,488,811,1409,1.74,15.22,19,299,291,612,2.1,9.56,12,206,1148,2285,1.99,11.02,39,668,2040,4427,2.17,32.05,22,442,228,949,4.17,18.01,12,170,1289,3202,2.48,21.53,28,480,5465,10475,1.92,33.15,43,1011,1888,6940,3.68,25.27,36,886
2006-Junio,118797,265245,2.23,45.08,430,19443,9108,17603,1.93,42.94,39,1357,5206,16211,3.11,53.42,28,1011,2134,4454,2.09,34.75,17,427,18151,41887,2.31,37.66,86,3686,7226,13625,1.89,36.26,38,1242,2774,7883,2.84,38.31,19,683,4263,9548,2.24,27.19,41,1167,48866,98045,2.01,56.86,85,5696,21067,55989,2.66,44.31,78,4173,100898,221511,2.2,51.36,179,14237,5691,10346,1.82,43.92,11,779,4279,14455,3.38,69.5,7,693,1677,3156,1.88,49.88,4,210,16282,39004,2.4,43.93,48,2938,4808,9281,1.93,40.8,12,750,2666,7533,2.82,49.03,6,509,3343,5681,1.7,28.09,13,671,43356,84794,1.96,60.88,35,4598,18796,47260,2.51,50.4,43,3088,17899,43734,2.44,27.9,251,5206,3417,7258,2.12,41.63,28,578,928,1755,1.89,18.39,21,318,457,1297,2.84,19.99,13,216,1869,2883,1.54,12.85,38,748,2418,4345,1.8,29.31,26,492,108,350,3.26,6.72,13,174,920,3867,4.2,25.97,28,496,5510,13251,2.4,40,50,1098,2272,8728,3.84,26.79,35,1085
2006-Julio,161223,428093,2.66,59.98,522,22479,16059,37569,2.34,69.07,46,1711,5761,16181,2.81,63.99,14,815,2782,5551,2,30.23,19,589,25866,64363,2.49,50.43,112,4028,9746,20850,2.14,52.63,38,1253,3834,12758,3.33,50.91,24,802,8495,18965,2.23,44.5,53,1357,55677,136016,2.44,70.17,99,6153,33003,115839,3.51,62.44,118,5770,125027,325512,2.6,64.68,207,15884,10308,24768,2.4,75.95,14,1035,5226,15198,2.91,70.7,7,693,2097,3933,1.88,34.24,6,367,21212,52227,2.46,52.24,52,3138,6702,13867,2.07,57.66,12,763,3119,9589,3.07,60.06,6,509,5350,10927,2.04,48.75,14,709,46015,112462,2.44,74.95,38,4766,24998,82540,3.3,65.98,58,3904,36196,102581,2.83,48.68,315,6595,5751,12801,2.23,58.78,32,676,535,983,1.84,25.94,7,122,686,1618,2.36,23.55,13,222,4654,12136,2.61,43.9,60,890,3043,6983,2.29,44.87,26,490,716,3169,4.43,34.85,18,293,3145,8037,2.56,39.78,39,648,9661,23555,2.44,53.79,61,1387,8005,33299,4.16,55.09,60,1867
2006-Agosto,192146,568443,2.96,77.19,543,22887,16633,44623,2.68,81.44,45,1704,9098,23610,2.6,74.63,27,1004,3775,7478,1.98,40.96,19,586,33428,96001,2.87,72.16,121,4165,11385,30834,2.71,76.88,37,1244,6856,18373,2.68,71.12,24,803,10868,32490,2.99,76.98,51,1335,61957,163019,2.63,82.97,97,6138,38147,152015,3.99,78.82,122,5907,143969,410608,2.85,80.04,210,16000,10712,29101,2.72,87.3,14,1035,7477,19220,2.57,88.37,7,693,3146,6197,1.97,54.16,6,367,25761,75183,2.92,74.75,52,3138,7787,19216,2.47,78.11,12,763,3959,12004,3.03,73.46,6,509,6640,18053,2.72,80.01,14,709,50717,125316,2.47,82.5,38,4780,27771,106318,3.83,81.55,61,4006,48177,157835,3.28,70.57,333,6887,5921,15522,2.62,72.33,31,669,1621,4391,2.71,44.4,20,311,629,1280,2.03,18.79,13,219,7667,20818,2.72,64.13,69,1027,3598,11617,3.23,74.92,25,481,2897,6369,2.2,67.1,18,294,4228,14437,3.41,73.51,37,626,11241,37703,3.35,84.59,59,1358,10376,45697,4.4,73.14,61,1901
2006-Septiembre,134432,325312,2.42,52.64,464,20391,10668,23314,2.19,51.58,40,1497,7743,19130,2.47,62.69,27,1006,1937,3547,1.83,24.07,17,490,21834,53876,2.47,47.31,96,3761,9041,17257,1.91,48.8,37,1173,2876,9520,3.31,39.17,24,805,5106,12519,2.45,35.24,46,1174,53785,110875,2.06,62.5,86,5858,21441,75273,3.51,53.68,90,4629,111143,260779,2.35,59.81,182,14388,8352,16693,2,56.81,14,971,6400,16377,2.56,77.54,7,692,1617,2955,1.83,36.35,4,270,18917,46444,2.46,52.21,49,2930,6401,11427,1.79,55.45,11,683,2598,8977,3.46,58.18,6,509,3910,9217,2.36,49.66,12,611,46779,94519,2.02,66.82,36,4672,16168,54170,3.35,58.71,44,3049,23289,64533,2.77,35.47,282,6003,2316,6621,2.86,41.86,26,526,1343,2754,2.05,29.31,20,313,320,592,1.85,8.96,13,220,2917,7432,2.55,29.82,47,830,2639,5830,2.21,39.51,26,490,278,543,1.95,6.12,18,296,1196,3302,2.76,19.47,34,563,7005,16357,2.33,45.48,50,1186,5274,21103,4,44.01,47,1579
2006-Octubre,98693,235314,2.38,46.38,357,16241,7261,15100,2.08,40.47,33,1196,6903,17764,2.57,55.99,27,1012,1016,2574,2.53,21.49,15,386,13056,32044,2.45,35.7,68,2881,5431,10634,1.96,32.04,32,1062,3110,11547,3.71,53.1,19,694,3150,9466,3.01,30.89,37,988,42846,91184,2.13,55,76,5303,15919,45001,2.83,53.16,48,2718,84725,195615,2.31,51.37,141,12193,5037,9635,1.91,47.99,8,641,5886,15632,2.66,72.58,7,689,871,2018,2.32,29.15,5,223,12337,29985,2.43,41.76,35,2301,3830,7094,1.85,38.9,9,581,2623,9442,3.6,58.93,6,509,2122,4734,2.23,28.37,11,538,37892,78180,2.06,56.76,33,4410,14127,38894,2.75,54.28,29,2301,13968,39699,2.84,31.37,216,4048,2223,5464,2.46,31.7,25,555,1017,2132,2.1,20.92,21,323,145,556,3.83,11,10,163,719,2059,2.86,11.46,33,580,1601,3540,2.21,23.67,24,481,488,2105,4.32,36.76,13,185,1028,4733,4.6,33.9,26,450,4955,13003,2.62,46.37,43,893,1792,6107,3.41,47,20,418
