Resultados de la consulta de datos hist�ricos,,,,,,,,,
,,,,,,,,,
Fecha,Hora,Barreda PM10 (�g/m3),Tipo dato,Barreda SO2 (�g/m3),Tipo dato,Barreda NO2 (�g/m3),Tipo dato,Barreda NO (�g/m3),Tipo dato
01-01-2006,00:00,49.9362,V,14.6738,V,53.864,V,67.9477,V
01-02-2006,01:00,59.2917,V,15.7233,V,57.0318,V,60.9324,V
01-03-2006,01:00,35.8241,V,11.3465,V,41.6711,V,37.7145,V
01-04-2006,00:00,40.966,V,7.28496,V,35.6495,V,22.4622,V
01-05-2006,00:00,43.9173,V,9.11113,V,36.3603,V,26.0107,V
01-06-2006,23:00,43.5101,V,10.3388,V,39.7718,V,24.089,V
01-07-2006,23:00,,N,,N,,N,,N
01-08-2006,00:00,27.4087,V,12.6325,V,30.0194,V,16.1219,V
01-09-2006,00:00,41.1964,V,26.9779,V,38.5259,V,22.9245,V
01-10-2006,00:00,39.476,V,21.4951,V,38.2483,V,30.8111,V
01-11-2006,01:00,46.1613,V,20.4741,V,44.3397,V,48.5307,V
01-12-2006,00:00,44,V,23.5,V,51,V,70.8,V
01-01-2007,00:00,47,V,27.4,V,43,V,57.4,V
01-02-2007,01:00,42,V,16.2,V,44.6,V,39.1,V
01-03-2007,01:00,50,V,16.2,V,50.5,V,35.1,V
01-04-2007,00:00,46,V,9.7,V,34.5,V,16.9,V
01-05-2007,00:00,36,V,8.9,V,20.6,V,11.3,V
01-06-2007,23:00,35,V,12.3,V,23.4,V,11.4,V
01-07-2007,23:00,35,V,14.6,V,21.9,V,11.9,V
01-08-2007,23:00,36,V,6.1,V,27.5,V,11.9,V
01-09-2007,00:00,37,V,21.8,V,33.1,V,19.3,V
01-10-2007,00:00,42,V,13.4,V,38,V,30.5,V
01-11-2007,01:00,40,V,12.3,V,43.2,V,40.9,V
01-12-2007,00:00,42,V,13,V,42.1,V,45.9,V
01-01-2008,00:00,46,V,13.3,V,44,V,47.6,V
01-02-2008,01:00,55,V,19.7,V,45.3,V,47.1,V
01-03-2008,01:00,35,V,11.5,V,37,V,17.4,V
01-04-2008,00:00,33,V,14.7,V,33,V,17.7,V
01-05-2008,00:00,27,V,14,V,29.6,V,13.2,V
01-06-2008,23:00,22,V,5,V,21.7,V,10.3,V
01-07-2008,23:00,25,V,5.7,V,23.4,V,12.8,V
01-08-2008,23:00,25,V,11.8,V,23.4,V,12.5,V
01-09-2008,00:00,25,V,13.2,V,29.6,V,19,V
01-10-2008,00:00,25,V,10.9,V,32.3,V,27.3,V
01-11-2008,01:00,20,V,11.6,V,35,V,26.3,V
01-12-2008,00:00,31,V,11,V,34,V,42,V
01-01-2009,00:00,36,V,11,V,40,V,37,V
01-02-2009,01:00,43,V,10,V,39,V,35,V
01-03-2009,01:00,42,V,11,V,38,V,23,V
01-04-2009,00:00,28,V,9,V,31,V,14,V
01-05-2009,00:00,30,V,9,V,25,V,10,V
01-06-2009,23:00,29,V,11,V,24,V,11,V
01-07-2009,23:00,21,V,12,V,23,V,12,V
01-08-2009,00:00,23,V,6,V,25,V,13,V
01-09-2009,00:00,30,V,10,V,31,V,15,V
01-10-2009,00:00,31,V,11,V,36,V,30,V
01-11-2009,01:00,28,V,13,V,36,V,33,V
01-12-2009,00:00,31,V,17,V,44,V,34,V
01-01-2010,00:00,28,V,17,V,39,V,25,V
01-02-2010,01:00,28,V,7,V,43,V,26,V
01-03-2010,01:00,34,V,10,V,36,V,19,V
01-04-2010,00:00,29,V,8,V,33,V,11,V
01-05-2010,00:00,25,V,8,V,30,V,11,V
01-06-2010,23:00,27,V,9,V,27,V,11,V
01-07-2010,23:00,23,V,5,V,22,V,9,V
01-08-2010,00:00,19,V,3,V,26,V,11,V
01-09-2010,00:00,23,V,9,V,32,V,14,V
01-10-2010,00:00,25,V,8,V,38,V,22,V
01-11-2010,01:00,19,V,13,V,40,V,26,V
01-12-2010,00:00,28,V,9,V,41,V,38,V
01-01-2011,00:00,28,V,8,V,43,V,39,V
01-02-2011,01:00,35,V,9,V,45,V,39,V
01-03-2011,01:00,35,V,7,V,38,V,15,V
01-04-2011,00:00,33,V,6,V,32,V,14,V
01-05-2011,00:00,25,V,8,V,25,V,9,V
01-06-2011,23:00,25,V,11,V,23,V,9,V
01-07-2011,23:00,20,V,11,V,23,V,9,V
01-08-2011,00:00,20,V,8,V,24,V,11,V
01-09-2011,00:00,26,V,13,V,30,V,20,V
01-10-2011,00:00,31,V,8,V,36,V,23,V
01-11-2011,01:00,24,V,10,V,38,V,35,V
01-12-2011,00:00,25,V,14,V,41,V,34,V
01-01-2012,00:00,33,V,11,V,39,V,33,V
01-02-2012,01:00,35,V,10,V,41,V,26,V
01-03-2012,01:00,45,V,11,V,42,V,23,V
01-04-2012,00:00,23,V,12,V,32,V,13,V
01-05-2012,00:00,20,V,8,V,28,V,13,V
01-06-2012,23:00,21,V,10,V,23,V,12,V
01-07-2012,23:00,,N,,Z,,Z,,Z
01-08-2012,23:00,22,V,8,V,23,V,10,V
01-09-2012,00:00,28,V,11,V,28,V,14,V
01-10-2012,00:00,26,V,10,V,34,V,27,V
01-11-2012,01:00,27,V,16,V,36,V,31,V
01-12-2012,00:00,28,V,12,V,42,V,37,V
01-01-2013,00:00,24,V,9,V,36,V,28,V
01-02-2013,01:00,26,V,5,V,33,V,19,V
01-03-2013,01:00,21,V,5,V,32,V,13,V
01-04-2013,00:00,24,V,5,V,27,V,12,V
01-05-2013,00:00,23,V,5,V,22,V,8,V
01-06-2013,23:00,24,V,5,V,23,V,9,V
01-07-2013,23:00,26,V,2,V,22,V,7,V
01-08-2013,23:00,20,V,2,V,24,V,8,V
01-09-2013,00:00,20,V,3,V,26,V,14,V
01-10-2013,00:00,15,V,1,V,31,V,18,V
01-11-2013,01:00,16,V,1,V,30,V,18,V
01-12-2013,00:00,30,V,2,V,41,V,38,V
01-01-2014,00:00,16,V,1,V,31,V,16,V
01-02-2014,01:00,16,V,2,V,32,V,16,V
01-03-2014,01:00,25,V,2,V,27,V,13,V
01-04-2014,00:00,21,V,2,V,24,V,9,V
01-05-2014,00:00,17,V,1,V,19,V,6,V
01-06-2014,23:00,23,V,1,V,19,V,6,V
01-07-2014,23:00,17,V,2,V,18,V,9,V
01-08-2014,23:00,14,V,3,V,23,V,9,V
01-09-2014,00:00,23,V,2,V,31,V,13,V
01-10-2014,00:00,25,V,1,V,35,V,25,V
01-11-2014,01:00,14,V,1,V,29,V,17,V
01-12-2014,00:00,17,V,0,V,30,V,23,V
01-01-2015,00:00,22.2,V,0,V,36,V,32,V
01-02-2015,01:00,18.87,V,1,V,31,V,22,V
01-03-2015,01:00,24.42,V,0,V,26,V,12,V
01-04-2015,00:00,19.98,V,1,V,30,V,10,V
01-05-2015,00:00,23.31,V,1,V,18,V,7,V
01-06-2015,23:00,29.97,V,1,V,20,V,7,V
01-07-2015,23:00,23.31,V,0,V,19,V,7,V
01-08-2015,00:00,16.65,V,1,V,20,V,9,V
01-09-2015,00:00,16.65,V,0,V,25,V,11,V
01-10-2015,00:00,16.65,V,1,V,34,V,19,V
01-11-2015,01:00,27.75,V,1,V,35,V,29,V
01-12-2015,00:00,41.07,V,1,V,45,V,42,V
01-01-2016,00:00,24,V,0,V,38,V,25,V
01-02-2016,01:00,25,V,1,V,30,V,17,V
01-03-2016,01:00,25,V,0,V,28,V,10,V
01-04-2016,00:00,17,V,0,V,23,V,8,V
01-05-2016,00:00,20,V,0,V,18,V,7,V
01-06-2016,23:00,22,V,0,V,16,V,7,V
01-07-2016,23:00,21,V,1,V,19,V,7,V
01-08-2016,00:00,26,V,1,V,22,V,9,V
01-09-2016,00:00,23,V,0,V,23,V,11,V
01-10-2016,00:00,28,V,1,V,29,V,21,V
01-11-2016,01:00,25,V,1,V,34,V,29,V
01-12-2016,00:00,33,V,1,V,44,V,52,V
01-01-2017,00:00,38,V,2,V,45,V,39,V
01-02-2017,01:00,31,V,3,V,34,V,22,V
01-03-2017,01:00,29,V,2,V,34,V,15,V
01-04-2017,00:00,28,V,1,V,35,V,10,V
01-05-2017,00:00,23,V,0,V,30,V,6,V
01-06-2017,23:00,27,V,0,V,28,V,6,V
01-07-2017,23:00,22,V,0,V,27,V,7,V
01-08-2017,00:00,20,V,1,V,28,V,10,V
01-09-2017,00:00,16,V,0,V,27,V,13,V
01-10-2017,00:00,25,V,1,V,31,V,23,V
01-11-2017,01:00,21,V,1,V,35,V,29,V
01-12-2017,00:00,19,V,6,V,38,V,35,V
01-01-2018,00:00,,N,,N,,N,,N
01-02-2018,01:00,18,V,8,V,30,V,17,V
01-03-2018,01:00,17,V,4,V,31,V,12,V
01-04-2018,00:00,23,V,4,V,29,V,9,V
01-05-2018,00:00,25,V,3,V,26,V,7,V
01-06-2018,23:00,19,V,3,V,21,V,7,V
01-07-2018,23:00,19,V,3,V,22,V,6,V
01-08-2018,23:00,19,V,3,V,24,V,9,V
01-09-2018,00:00,23,V,3,V,28,V,12,V
01-10-2018,00:00,22,V,5,V,29,V,17,V
01-11-2018,01:00,20,V,5,V,31,V,25,V
01-12-2018,00:00,29,V,4,V,28,V,44,V
01-01-2019,00:00,,N,,N,,N,,N
