Resultados de la consulta de datos hist�ricos,,,,,,,,,
,,,,,,,,,
Fecha,Hora,Guarnizo PM10 (�g/m3),Tipo dato,Guarnizo SO2 (�g/m3),Tipo dato,Guarnizo NO2 (�g/m3),Tipo dato,Guarnizo NO (�g/m3),Tipo dato
01-01-2006,00:00,27.3919,V,7.61573,V,24.1136,V,10.6622,V
01-02-2006,01:00,36.0752,V,6.63486,V,22.9223,V,9.11933,V
01-03-2006,01:00,25.374,V,4.08362,V,14.3032,V,4.2492,V
01-04-2006,00:00,26.7535,V,3.73875,V,32.929,V,7.5176,V
01-05-2006,00:00,29.5562,V,5.04577,V,15.6172,V,4.29147,V
01-06-2006,23:00,35.9386,V,3.14835,V,15.2374,V,3.25283,V
01-07-2006,23:00,34.6175,V,4.11057,V,13.0654,V,3.80376,V
01-08-2006,00:00,23.3993,V,2.31005,V,14.3287,V,4.59037,V
01-09-2006,00:00,40.1917,V,3.53027,V,19.4487,V,5.24837,V
01-10-2006,00:00,34.5354,V,4.16681,V,20.6744,V,8.42447,V
01-11-2006,01:00,29.5888,V,3.14539,V,34.31,V,15.6577,V
01-12-2006,00:00,32,V,2.9,V,45.4,V,28.1,V
01-01-2007,00:00,36,V,3.3,V,26.2,V,13.8,V
01-02-2007,01:00,28,V,6.8,V,19.6,V,7.2,V
01-03-2007,01:00,34,V,4.5,V,22.5,V,6.6,V
01-04-2007,00:00,46,V,6.8,V,19.1,V,7,V
01-05-2007,00:00,28,V,5.4,V,9.9,V,2.8,V
01-06-2007,23:00,29,V,4.6,V,10.6,V,3.3,V
01-07-2007,23:00,27,V,5.1,V,10,V,4.1,V
01-08-2007,23:00,29,V,4.8,V,14.1,V,4.5,V
01-09-2007,00:00,29,V,5.3,V,17.6,V,5,V
01-10-2007,00:00,29,V,5,V,19.6,V,7.2,V
01-11-2007,01:00,25,V,6.4,V,20.5,V,10.9,V
01-12-2007,00:00,28,V,8,V,28,V,18,V
01-01-2008,00:00,27,V,6,V,24,V,13,V
01-02-2008,01:00,37,V,6,V,36,V,21,V
01-03-2008,01:00,21,V,4,V,17,V,4,V
01-04-2008,00:00,19,V,6,V,17,V,6,V
01-05-2008,00:00,20,V,4,V,16,V,5,V
01-06-2008,23:00,23,V,4,V,11,V,3,V
01-07-2008,23:00,25,V,6,V,12,V,4,V
01-08-2008,23:00,26,V,3,V,10,V,3,V
01-09-2008,00:00,25,V,5,V,15,V,4,V
01-10-2008,00:00,27,V,5,V,19,V,7,V
01-11-2008,01:00,17,V,5,V,16,V,4,V
01-12-2008,00:00,19,V,5,V,17,V,8,V
01-01-2009,00:00,19,V,6,V,16,V,7,V
01-02-2009,01:00,25,V,6,V,21,V,8,V
01-03-2009,01:00,29,V,5,V,21,V,8,V
01-04-2009,00:00,21,V,6,V,11,V,2,V
01-05-2009,00:00,25,V,6,V,11,V,3,V
01-06-2009,23:00,28,V,5,V,12,V,3,V
01-07-2009,23:00,24,V,4,V,10,V,3,V
01-08-2009,00:00,24,V,5,V,13,V,4,V
01-09-2009,00:00,30,V,4,V,15,V,4,V
01-10-2009,00:00,30,V,4,V,20,V,10,V
01-11-2009,01:00,27,V,5,V,13,V,5,V
01-12-2009,00:00,26,V,7,V,16,V,6,V
01-01-2010,00:00,28,V,4,V,16,V,5,V
01-02-2010,01:00,32,V,5,V,18,V,4,V
01-03-2010,01:00,40,V,6,V,18,V,5,V
01-04-2010,00:00,40,V,4,V,21,V,5,V
01-05-2010,00:00,35,V,4,V,16,V,4,V
01-06-2010,23:00,24,V,4,V,14,V,4,V
01-07-2010,23:00,21,V,3,V,13,V,4,V
01-08-2010,00:00,19,V,3,V,15,V,4,V
01-09-2010,00:00,23,V,3,V,19,V,5,V
01-10-2010,00:00,21,V,5,V,20,V,6,V
01-11-2010,01:00,13,V,3,V,17,V,5,V
01-12-2010,00:00,19,V,4,V,22,V,11,V
01-01-2011,00:00,22,V,3,V,25,V,12,V
01-02-2011,01:00,27,V,5,V,25,V,10,V
01-03-2011,01:00,31,V,4,V,23,V,5,V
01-04-2011,00:00,31,V,3,V,18,V,6,V
01-05-2011,00:00,25,V,2,V,15,V,4,V
01-06-2011,23:00,22,V,2,V,12,V,3,V
01-07-2011,23:00,19,V,2,V,10,V,3,V
01-08-2011,00:00,21,V,2,V,14,V,6,V
01-09-2011,00:00,26,V,2,V,19,V,6,V
01-10-2011,00:00,28,V,2,V,20,V,6,V
01-11-2011,01:00,23,V,2,V,22,V,11,V
01-12-2011,00:00,19,V,2,V,19,V,7,V
01-01-2012,00:00,21,V,2,V,22,V,9,V
01-02-2012,01:00,32,V,3,V,16,V,6,V
01-03-2012,01:00,42,V,3,V,38,V,12,V
01-04-2012,00:00,19,V,2,V,18,V,4,V
01-05-2012,00:00,18,V,2,V,17,V,4,V
01-06-2012,23:00,21,V,2,V,15,V,4,V
01-07-2012,23:00,,N,,Z,,Z,,Z
01-08-2012,23:00,22,V,3,V,15,V,4,V
01-09-2012,00:00,23,V,3,V,17,V,4,V
01-10-2012,00:00,17,V,3,V,20,V,8,V
01-11-2012,01:00,19,V,2,V,20,V,10,V
01-12-2012,00:00,17,V,3,V,22,V,10,V
01-01-2013,00:00,17,V,4,V,22,V,12,V
01-02-2013,01:00,21,V,3,V,22,V,7,V
01-03-2013,01:00,16,V,3,V,20,V,3,V
01-04-2013,00:00,18,V,4,V,17,V,5,V
01-05-2013,00:00,18,V,3,V,12,V,3,V
01-06-2013,23:00,18,V,2,V,11,V,3,V
01-07-2013,23:00,26,V,3,V,12,V,2,V
01-08-2013,23:00,20,V,1,V,14,V,3,V
01-09-2013,00:00,20,V,2,V,17,V,5,V
01-10-2013,00:00,17,V,2,V,19,V,7,V
01-11-2013,01:00,20,V,2,V,20,V,5,V
01-12-2013,00:00,23,V,2,V,21,V,14,V
01-01-2014,00:00,16,V,2,V,16,V,5,V
01-02-2014,01:00,19,V,2,V,25,V,6,V
01-03-2014,01:00,31,V,5,V,21,V,6,V
01-04-2014,00:00,23,V,1,V,15,V,4,V
01-05-2014,00:00,18,V,1,V,14,V,3,V
01-06-2014,23:00,24,V,2,V,11,V,3,V
01-07-2014,23:00,19,V,1,V,10,V,4,V
01-08-2014,23:00,15,V,2,V,16,V,4,V
01-09-2014,00:00,28,V,3,V,24,V,6,V
01-10-2014,00:00,20,V,1,V,25,V,11,V
01-11-2014,01:00,14,V,1,V,19,V,6,V
01-12-2014,00:00,19,V,1,V,23,V,10,V
01-01-2015,00:00,20.16,V,0,V,23,V,9,V
01-02-2015,01:00,20.16,V,2,V,21,V,6,V
01-03-2015,01:00,28.8,V,1,V,22,V,5,V
01-04-2015,00:00,26.88,V,2,V,19,V,5,V
01-05-2015,00:00,21.12,V,2,V,13,V,4,V
01-06-2015,23:00,25.92,V,1,V,15,V,3,V
01-07-2015,23:00,20.16,V,0,V,15,V,4,V
01-08-2015,00:00,19.2,V,0,V,13,V,3,V
01-09-2015,00:00,19.2,V,0,V,17,V,5,V
01-10-2015,00:00,21.12,V,0,V,23,V,8,V
01-11-2015,01:00,22.08,V,0,V,23,V,10,V
01-12-2015,00:00,25.92,V,0,V,21,V,12,V
01-01-2016,00:00,17,V,0,V,23,V,9,V
01-02-2016,01:00,18,V,0,V,21,V,6,V
01-03-2016,01:00,21,V,0,V,20,V,4,V
01-04-2016,00:00,14,V,0,V,17,V,4,V
01-05-2016,00:00,19,V,0,V,11,V,4,V
01-06-2016,23:00,20,V,0,V,9,V,4,V
01-07-2016,23:00,23,V,0,V,11,V,5,V
01-08-2016,00:00,31,V,0,V,11,V,4,V
01-09-2016,00:00,28,V,0,V,14,V,5,V
01-10-2016,00:00,25,V,0,V,25,V,13,V
01-11-2016,01:00,24,V,1,V,25,V,15,V
01-12-2016,00:00,27,V,2,V,30,V,23,V
01-01-2017,00:00,29,V,2,V,30,V,19,V
01-02-2017,01:00,28,V,1,V,24,V,8,V
01-03-2017,01:00,28,V,0,V,20,V,5,V
01-04-2017,00:00,28,V,1,V,19,V,4,V
01-05-2017,00:00,25,V,0,V,16,V,3,V
01-06-2017,23:00,30,V,0,V,14,V,3,V
01-07-2017,23:00,24,V,0,V,13,V,3,V
01-08-2017,00:00,25,V,0,V,15,V,4,V
01-09-2017,00:00,22,V,1,V,15,V,5,V
01-10-2017,00:00,29,V,0,V,21,V,10,V
01-11-2017,01:00,22,V,1,V,18,V,8,V
01-12-2017,00:00,18,V,0,V,14,V,6,V
01-01-2018,00:00,,N,,N,,N,,N
01-02-2018,01:00,22,V,1,V,20,V,7,V
01-03-2018,01:00,17,V,0,V,12,V,3,V
01-04-2018,00:00,25,V,0,V,16,V,4,V
01-05-2018,00:00,29,V,0,V,16,V,3,V
01-06-2018,23:00,26,V,1,V,12,V,3,V
01-07-2018,23:00,27,V,1,V,12,V,3,V
01-08-2018,23:00,27,V,0,V,13,V,5,V
01-09-2018,00:00,32,V,1,V,17,V,6,V
01-10-2018,00:00,28,V,0,V,18,V,7,V
01-11-2018,01:00,23,V,0,V,20,V,10,V
01-12-2018,00:00,28,V,0,V,21,V,13,V
01-01-2019,00:00,,N,,C,,C,,C
