Resultados de la consulta de datos hist�ricos,,,,,,,,,
,,,,,,,,,
Fecha,Hora,Escuela de Minas PM10 (�g/m3),Tipo dato,Escuela de Minas SO2 (�g/m3),Tipo dato,Escuela de Minas NO2 (�g/m3),Tipo dato,Escuela de Minas NO (�g/m3),Tipo dato
01-01-2006,00:00,38.9936,V,10.0006,V,38.5611,V,29.7257,V
01-02-2006,01:00,39.4907,V,7.88276,V,39.7527,V,30.3833,V
01-03-2006,01:00,28.4094,V,8.33041,V,27.7412,V,14.0389,V
01-04-2006,00:00,26.841,V,18.1128,V,28.4381,V,9.60924,V
01-05-2006,00:00,28.7058,V,10.9645,V,29.7305,V,10.9713,V
01-06-2006,23:00,29.9876,V,22.1764,V,30.0004,V,9.99677,V
01-07-2006,23:00,34.6847,V,10.3434,V,25.418,V,8.99006,V
01-08-2006,00:00,23.361,V,5.71997,V,25.8094,V,10.6769,V
01-09-2006,00:00,34.0185,V,9.33202,V,27.6998,V,12.0954,V
01-10-2006,00:00,28.1857,V,13.1088,V,29.1583,V,18.8579,V
01-11-2006,01:00,26.6226,V,13.0234,V,35.8226,V,30.0689,V
01-12-2006,00:00,,N,,N,,N,,N
01-01-2007,00:00,,N,,N,,N,,N
01-02-2007,01:00,31,V,16.7,V,32.4,V,19.8,V
01-03-2007,01:00,30,V,33.8,V,31.8,V,13.4,V
01-04-2007,00:00,36,V,22.7,V,32,V,9.7,V
01-05-2007,00:00,26,V,16.7,V,21.2,V,7.4,V
01-06-2007,23:00,25,V,16.9,V,17.6,V,8.2,V
01-07-2007,23:00,25,V,13.3,V,22.3,V,9.2,V
01-08-2007,23:00,24,V,9.6,V,22.7,V,7,V
01-09-2007,00:00,26,V,30.7,V,26.8,V,11.8,V
01-10-2007,00:00,29,V,16.8,V,29.9,V,18.8,V
01-11-2007,01:00,29,V,12.6,V,34.3,V,27.7,V
01-12-2007,00:00,30,V,10,V,30.7,V,31.3,V
01-01-2008,00:00,29,V,11,V,30.8,V,28,V
01-02-2008,01:00,39,V,21.6,V,35.8,V,30.9,V
01-03-2008,01:00,20,V,6.3,V,26,V,7.7,V
01-04-2008,00:00,20,V,23.5,V,28.4,V,10.7,V
01-05-2008,00:00,17,V,14.5,V,25.2,V,8.3,V
01-06-2008,23:00,17,V,3.9,V,16.3,V,6.2,V
01-07-2008,23:00,18,V,6.6,V,16.9,V,6.6,V
01-08-2008,23:00,20,V,12.9,V,18.7,V,6.8,V
01-09-2008,00:00,21,V,13.7,V,24.1,V,8.9,V
01-10-2008,00:00,21,V,12.5,V,24.4,V,14.8,V
01-11-2008,01:00,12,V,8.8,V,22.3,V,11.4,V
01-12-2008,00:00,19,V,7,V,28,V,25,V
01-01-2009,00:00,23,V,10,V,28,V,17,V
01-02-2009,01:00,29,V,18,V,28,V,18,V
01-03-2009,01:00,32,V,19,V,29,V,12,V
01-04-2009,00:00,24,V,12,V,20,V,7,V
01-05-2009,00:00,26,V,20,V,19,V,7,V
01-06-2009,23:00,24,V,23,V,19,V,8,V
01-07-2009,23:00,29,V,15,V,17,V,6,V
01-08-2009,00:00,24,V,8,V,20,V,8,V
01-09-2009,00:00,25,V,22,V,24,V,8,V
01-10-2009,00:00,19,V,19,V,27,V,19,V
01-11-2009,01:00,17,V,9,V,19,V,13,V
01-12-2009,00:00,31,V,11,V,28,V,19,V
01-01-2010,00:00,28,V,11,V,26,V,11,V
01-02-2010,01:00,20,V,8,V,30,V,13,V
01-03-2010,01:00,26,V,13,V,28,V,10,V
01-04-2010,00:00,27,V,24,V,27,V,9,V
01-05-2010,00:00,21,V,14,V,21,V,6,V
01-06-2010,23:00,22,V,13,V,18,V,5,V
01-07-2010,23:00,20,V,11,V,18,V,5,V
01-08-2010,00:00,17,V,9,V,21,V,5,V
01-09-2010,00:00,22,V,17,V,25,V,8,V
01-10-2010,00:00,22,V,10,V,27,V,11,V
01-11-2010,01:00,15,V,3,V,25,V,11,V
01-12-2010,00:00,21,V,7,V,28,V,17,V
01-01-2011,00:00,23,V,13,V,31,V,19,V
