Resultados de la consulta de datos hist�ricos,,,,,,,,,
,,,,,,,,,
Fecha,Hora,Parque Zapat�n PM10 (�g/m3),Tipo dato,Parque Zapat�n SO2 (�g/m3),Tipo dato,Parque Zapat�n NO2 (�g/m3),Tipo dato,Parque Zapat�n NO (�g/m3),Tipo dato
01-01-2006,00:00,24.0571,V,5.83545,V,31.0507,V,21.1076,V
01-02-2006,01:00,32.6929,V,8.33548,V,30.7637,V,17.0494,V
01-03-2006,01:00,25.9476,V,12.7741,V,24.624,V,9.56288,V
01-04-2006,00:00,25.539,V,13.2234,V,23.1204,V,4.99155,V
01-05-2006,00:00,27.8781,V,8.9837,V,24.2754,V,6.12081,V
01-06-2006,23:00,31.2292,V,7.15064,V,27.2835,V,6.23355,V
01-07-2006,23:00,37.4767,V,8.34035,V,22.1348,V,5.57073,V
01-08-2006,00:00,28.6176,V,4.5434,V,19.5309,V,5.56936,V
01-09-2006,00:00,36.9869,V,5.46177,V,18.2969,V,7.04821,V
01-10-2006,00:00,29.3547,V,6.45535,V,26.9845,V,11.4485,V
01-11-2006,01:00,,N,,N,,N,,N
01-12-2006,00:00,26,V,6.5,V,34.1,V,22.6,V
01-01-2007,00:00,30,V,5.7,V,35.8,V,26.1,V
01-02-2007,01:00,26,V,7.9,V,28.7,V,10.9,V
01-03-2007,01:00,26,V,6.8,V,30.6,V,9.4,V
01-04-2007,00:00,37,V,7.5,V,29.5,V,7.4,V
01-05-2007,00:00,26,V,6.3,V,18.4,V,5.7,V
01-06-2007,23:00,28,V,6.4,V,18,V,4.5,V
01-07-2007,23:00,28,V,5.5,V,14.8,V,4.5,V
01-08-2007,23:00,29,V,3.1,V,18.6,V,4.3,V
01-09-2007,00:00,27,V,5.8,V,22.1,V,6.7,V
01-10-2007,00:00,29,V,6.9,V,26.6,V,10.4,V
01-11-2007,01:00,27,V,5.1,V,28.5,V,15.4,V
01-12-2007,00:00,26,V,6.5,V,28.3,V,17.8,V
01-01-2008,00:00,28,V,6.8,V,30.6,V,18.5,V
01-02-2008,01:00,34,V,9,V,33,V,22.9,V
01-03-2008,01:00,23,V,6.8,V,22.1,V,5.7,V
01-04-2008,00:00,23,V,5.4,V,22,V,6.4,V
01-05-2008,00:00,22,V,5.4,V,16.9,V,4.3,V
01-06-2008,23:00,23,V,3.4,V,11.8,V,3.1,V
01-07-2008,23:00,23,V,3.5,V,13.1,V,3.3,V
01-08-2008,23:00,24,V,5.4,V,13.4,V,4.7,V
01-09-2008,00:00,24,V,4.1,V,18,V,5.3,V
01-10-2008,00:00,22,V,4.7,V,21.5,V,9.3,V
01-11-2008,01:00,16,V,4.1,V,20.5,V,7.2,V
01-12-2008,00:00,20,V,5,V,26,V,18,V
01-01-2009,00:00,20,V,5,V,25,V,12,V
01-02-2009,01:00,26,V,6,V,26,V,12,V
01-03-2009,01:00,29,V,7,V,27,V,9,V
01-04-2009,00:00,24,V,4,V,18,V,4,V
01-05-2009,00:00,25,V,6,V,18,V,5,V
01-06-2009,23:00,25,V,6,V,16,V,4,V
01-07-2009,23:00,22,V,7,V,14,V,4,V
01-08-2009,00:00,21,V,5,V,17,V,5,V
01-09-2009,00:00,27,V,5,V,20,V,6,V
01-10-2009,00:00,25,V,6,V,24,V,13,V
01-11-2009,01:00,23,V,7,V,19,V,10,V
01-12-2009,00:00,25,V,8,V,26,V,14,V
01-01-2010,00:00,24,V,6,V,23,V,7,V
01-02-2010,01:00,15,V,6,V,26,V,8,V
01-03-2010,01:00,24,V,8,V,25,V,7,V
01-04-2010,00:00,23,V,6,V,24,V,6,V
01-05-2010,00:00,17,V,4,V,18,V,4,V
01-06-2010,23:00,21,V,4,V,16,V,4,V
01-07-2010,23:00,17,V,5,V,15,V,5,V
01-08-2010,00:00,14,V,3,V,18,V,4,V
01-09-2010,00:00,18,V,6,V,22,V,5,V
01-10-2010,00:00,17,V,6,V,25,V,7,V
01-11-2010,01:00,11,V,3,V,22,V,7,V
01-12-2010,00:00,18,V,3,V,28,V,16,V
01-01-2011,00:00,20,V,4,V,29,V,13,V
01-02-2011,01:00,25,V,4,V,31,V,15,V
01-03-2011,01:00,28,V,4,V,25,V,5,V
01-04-2011,00:00,28,V,4,V,23,V,4,V
01-05-2011,00:00,22,V,4,V,17,V,3,V
01-06-2011,23:00,21,V,5,V,16,V,5,V
01-07-2011,23:00,18,V,5,V,14,V,3,V
01-08-2011,00:00,18,V,3,V,16,V,3,V
01-09-2011,00:00,23,V,5,V,21,V,6,V
01-10-2011,00:00,25,V,3,V,25,V,8,V
01-11-2011,01:00,18,V,3,V,25,V,13,V
01-12-2011,00:00,18,V,3,V,26,V,12,V
01-01-2012,00:00,23,V,3,V,27,V,11,V
01-02-2012,01:00,34,V,5,V,30,V,10,V
01-03-2012,01:00,43,V,5,V,33,V,9,V
01-04-2012,00:00,19,V,2,V,16,V,3,V
01-05-2012,00:00,18,V,3,V,16,V,4,V
01-06-2012,23:00,19,V,5,V,16,V,4,V
01-07-2012,23:00,,N,,C,,C,,C
01-08-2012,23:00,25,V,5,V,18,V,4,V
01-09-2012,00:00,26,V,5,V,20,V,5,V
01-10-2012,00:00,21,V,3,V,23,V,9,V
01-11-2012,01:00,20,V,4,V,23,V,12,V
01-12-2012,00:00,19,V,3,V,22,V,11,V
01-01-2013,00:00,19,V,3,V,22,V,12,V
01-02-2013,01:00,22,V,2,V,23,V,8,V
01-03-2013,01:00,16,V,2,V,19,V,4,V
01-04-2013,00:00,20,V,3,V,18,V,3,V
01-05-2013,00:00,19,V,4,V,14,V,2,V
01-06-2013,23:00,20,V,2,V,15,V,3,V
01-07-2013,23:00,27,V,3,V,17,V,3,V
01-08-2013,23:00,23,V,2,V,15,V,3,V
01-09-2013,00:00,22,V,2,V,18,V,4,V
01-10-2013,00:00,17,V,2,V,20,V,5,V
01-11-2013,01:00,18,V,3,V,32,V,6,V
01-12-2013,00:00,28,V,2,V,,N,,N
01-01-2014,00:00,15,V,2,V,22,V,8,V
01-02-2014,01:00,17,V,2,V,18,V,4,V
01-03-2014,01:00,26,V,2,V,,N,,N
01-04-2014,00:00,19,V,2,V,19,V,4,V
01-05-2014,00:00,15,V,2,V,13,V,2,V
01-06-2014,23:00,20,V,3,V,15,V,3,V
01-07-2014,23:00,15,V,3,V,13,V,2,V
01-08-2014,23:00,13,V,2,V,,N,4,V
01-09-2014,00:00,22,V,2,V,21,V,4,V
01-10-2014,00:00,21,V,1,V,25,V,8,V
01-11-2014,01:00,13,V,0,V,21,V,5,V
01-12-2014,00:00,17,V,1,V,24,V,8,V
01-01-2015,00:00,19.74,V,1,V,26,V,9,V
01-02-2015,01:00,17.86,V,0,V,21,V,5,V
01-03-2015,01:00,25.38,V,1,V,19,V,4,V
01-04-2015,00:00,21.62,V,1,V,18,V,3,V
01-05-2015,00:00,16.92,V,1,V,14,V,2,V
01-06-2015,23:00,21.62,V,2,V,14,V,2,V
01-07-2015,23:00,16.92,V,2,V,13,V,2,V
01-08-2015,00:00,16.92,V,1,V,15,V,3,V
01-09-2015,00:00,15.98,V,1,V,16,V,3,V
01-10-2015,00:00,17.86,V,2,V,21,V,5,V
01-11-2015,01:00,19.74,V,0,V,22,V,9,V
01-12-2015,00:00,29.14,V,1,V,26,V,14,V
01-01-2016,00:00,15,V,1,V,24,V,9,V
01-02-2016,01:00,17,V,1,V,21,V,6,V
01-03-2016,01:00,19,V,1,V,17,V,2,V
01-04-2016,00:00,12,V,1,V,14,V,3,V
01-05-2016,00:00,15,V,1,V,10,V,2,V
01-06-2016,23:00,16,V,1,V,11,V,2,V
01-07-2016,23:00,16,V,1,V,12,V,3,V
01-08-2016,00:00,20,V,1,V,15,V,3,V
01-09-2016,00:00,19,V,1,V,15,V,4,V
01-10-2016,00:00,21,V,1,V,20,V,9,V
01-11-2016,01:00,17,V,1,V,21,V,10,V
01-12-2016,00:00,24,V,2,V,26,V,19,V
01-01-2017,00:00,25,V,2,V,25,V,14,V
01-02-2017,01:00,21,V,1,V,23,V,7,V
01-03-2017,01:00,20,V,1,V,19,V,6,V
01-04-2017,00:00,20,V,1,V,17,V,4,V
01-05-2017,00:00,18,V,1,V,16,V,3,V
01-06-2017,23:00,21,V,1,V,14,V,2,V
01-07-2017,23:00,17,V,1,V,12,V,2,V
01-08-2017,00:00,18,V,0,V,13,V,3,V
01-09-2017,00:00,16,V,0,V,13,V,3,V
01-10-2017,00:00,24,V,0,V,19,V,7,V
01-11-2017,01:00,21,V,1,V,19,V,9,V
01-12-2017,00:00,19,V,0,V,17,V,11,V
01-01-2018,00:00,,N,,N,,N,,N
01-02-2018,01:00,22,V,2,V,16,V,6,V
01-03-2018,01:00,16,V,2,V,12,V,2,V
01-04-2018,00:00,23,V,3,V,15,V,3,V
01-05-2018,00:00,24,V,2,V,15,V,2,V
01-06-2018,23:00,19,V,1,V,6,V,2,V
01-07-2018,23:00,18,V,1,V,8,V,2,V
01-08-2018,23:00,20,V,1,V,9,V,3,V
01-09-2018,00:00,24,V,2,V,15,V,4,V
01-10-2018,00:00,24,V,1,V,18,V,5,V
01-11-2018,01:00,18,V,1,V,18,V,7,V
01-12-2018,00:00,26,V,0,V,19,V,16,V
01-01-2019,00:00,,N,,N,,N,,N
