año,mes,1 estrella,2 estrellas,3 estrellas,4 estrellas,5 estrellas,hoteles,extrahoteleros,total
1978,1,30192,146219,239334,336534,45498,797777,476649,1274426
1978,2,22356,116133,246988,304928,49008,739413,418724,1158137
1978,3,27594,134989,249149,313366,43843,768941,442192,1211133
1978,4,17643,94323,191346,273826,25840,602978,287341,890319
1978,5,14549,78733,168500,258932,23002,543716,224473,768189
1978,6,16572,88989,154491,236211,15150,511413,225777,737190
1978,7,18491,85272,230277,310027,22915,666982,433313,1100295
1978,8,21741,141296,265592,339567,40495,808691,496506,1305197
1978,9,18953,88246,226558,302481,29488,665726,394804,1060530
1978,10,23959,130465,218466,318543,32958,724391,397489,1121880
1978,11,31105,127495,254729,323177,37390,773896,448155,1222051
1978,12,33550,147132,243550,312485,35412,772129,535146,1307275
1978,13,276705,1379292,2688980,3630077,400999,8376053,4780569,13156622
1979,1,33260,162440,275713,348076,47446,866935,538055,1404990
1979,2,32873,98424,243493,328630,50568,753988,513437,1267425
1979,3,33263,150960,262011,346305,42848,835387,511314,1346701
1979,4,28400,115473,219682,287371,36683,687609,366507,1054116
1979,5,22050,79611,144606,233772,24338,504377,218195,722572
1979,6,20788,66904,143225,234338,23024,488279,261652,749931
1979,7,22729,118461,205652,281370,20061,648273,347428,995701
1979,8,20694,118804,257110,322398,24531,743537,428964,1172501
1979,9,20019,108482,216407,305985,22497,673390,371522,1044912
1979,10,20848,106579,213283,290370,29622,660702,378394,1039096
1979,11,24025,131234,201120,227188,22416,605983,420179,1026162
1979,12,32673,116644,192576,222581,26442,590916,460366,1051282
1979,13,311622,1374016,2574878,3428384,370476,8059376,4816013,12875389
1980,1,26449,136539,194162,235212,27310,619672,493309,1112981
1980,2,29703,123621,232020,282884,32279,700507,490104,1190611
1980,3,32725,143466,224856,263200,29115,693362,538572,1231934
1980,4,21184,74473,175894,229279,29640,530470,480533,1011003
1980,5,23456,50281,142746,215598,22202,454283,192615,646898
1980,6,20614,46759,131126,180957,24659,404115,210441,614556
1980,7,20957,65250,191941,238732,20457,537337,384332,921669
1980,8,23288,128520,252037,299485,24135,727465,448264,1175729
1980,9,22309,98504,208758,272787,18621,620979,301019,921998
1980,10,22212,105345,177579,246665,23064,574865,261683,836548
1980,11,24973,94690,168990,231062,26427,546142,393289,939431
1980,12,27566,131883,201301,239367,28046,628163,500743,1128906
1980,13,295436,1199331,2301410,2935228,305955,7037360,4694904,11732264
1981,1,31374,131121,271628,311310,34961,780394,524203,1304597
1981,2,29643,98393,252760,307978,31020,719794,518241,1238035
1981,3,33583,102898,259740,306485,29081,731787,485576,1217363
1981,4,24026,97933,205455,262185,32727,622326,421795,1044121
1981,5,16352,72343,149106,268866,31259,537926,238961,776887
1981,6,17228,67975,172319,261387,28609,547518,250822,798340
1981,7,25136,114035,226397,305655,22423,693646,411991,1105637
1981,8,26764,156714,287703,388579,39319,899079,557632,1456711
1981,9,24241,117402,230210,337910,29590,739353,427987,1167340
1981,10,23517,98189,243111,397439,37683,799939,373859,1173798
1981,11,23985,105139,270977,378415,41821,820337,476096,1296433
1981,12,29269,126000,286217,359733,38713,839932,523554,1363486
1981,13,305118,1288142,2855623,3885942,397206,8732031,5210717,13942748
1982,1,27400,110687,330366,410669,44723,923845,529868,1453713
1982,2,27059,135129,309884,386586,42711,901369,477177,1378546
1982,3,27728,101001,324520,432244,49440,934933,515898,1450831
1982,4,19511,120437,243922,376552,39927,800349,446193,1246542
1982,5,14923,105619,204417,341725,31933,698617,284903,983520
1982,6,16930,75363,184679,318362,30361,625695,287947,913642
1982,7,15932,110058,240739,357307,28037,752073,440568,1192641
1982,8,25634,135607,301823,413323,45000,921387,512364,1433751
1982,9,19337,116295,239843,375585,37344,788404,357572,1145976
1982,10,17809,113750,256366,383056,46153,817134,379769,1196903
1982,11,24641,134630,280582,371261,41447,852561,465131,1317692
1982,12,27592,178027,284942,365953,41257,897771,492583,1390354
1982,13,264496,1436603,3202083,4532623,478333,9914138,5189973,15104111
1983,1,32401,202336,350959,430002,49270,1064968,582125,1647093
1983,2,31277,182697,303088,393515,46611,957188,531303,1488491
1983,3,30906,193182,315194,432504,43852,1015638,563827,1579465
1983,4,23511,120322,241107,371903,37139,793982,428069,1222051
1983,5,20042,108458,209895,350600,34803,723798,286036,1009834
1983,6,19346,105416,214960,338345,37532,715599,269733,985332
1983,7,21787,120341,251080,393130,30848,817186,481622,1298808
1983,8,23989,147399,303516,441331,49551,965786,561620,1527406
1983,9,22111,73741,268923,392332,38944,796051,446108,1242159
1983,10,22564,144184,263846,417642,42288,890524,428391,1318915
1983,11,17490,174765,295429,399962,40935,928581,508538,1437119
1983,12,27555,163521,308447,377894,42587,920004,528728,1448732
1983,13,292979,1736362,3326444,4739160,494360,10589305,5616100,16205405
1984,1,26058,188184,326080,459148,47734,1047204,606542,1653746
1984,2,26267,183819,314062,435511,48318,1007977,570815,1578792
1984,3,24234,179935,321246,457350,48398,1031163,538794,1569957
1984,4,23334,140046,279991,409110,45586,898067,520462,1418529
1984,5,21564,94035,253739,461713,50348,881399,320738,1202137
1984,6,20861,104170,240977,397606,39450,803064,324447,1127511
1984,7,21484,153675,268525,430068,34224,907976,452132,1360108
1984,8,23758,173025,345549,487607,50462,1080401,536674,1617075
1984,9,19466,128652,303922,442616,46587,941243,449514,1390757
1984,10,21357,113077,316890,483867,54076,989267,473400,1462667
1984,11,27053,107818,303103,446333,50314,934621,535024,1469645
1984,12,29982,135979,333940,411371,45614,956886,537308,1494194
1984,13,285418,1702415,3608024,5322300,561111,11479268,5865850,17345118
1985,1,26998,176406,342199,526109,47223,1118935,592869,1711804
1985,2,27154,176924,317317,492184,47105,1060684,553963,1614647
1985,3,26951,210879,333752,520143,50233,1141958,598465,1740423
1985,4,21291,199817,262217,466567,46992,996884,459019,1455903
1985,5,18454,138377,253670,456119,45848,912468,364106,1276574
1985,6,18721,115385,208744,364768,42226,749844,342221,1092065
1985,7,19212,123912,262583,401572,34504,841783,516313,1358096
1985,8,24598,151146,306949,516575,40588,1039856,614165,1654021
1985,9,23149,139166,280520,480367,35831,959033,523484,1482517
1985,10,20797,154542,262085,542901,47988,1028313,554766,1583079
1985,11,23481,183297,270555,495794,46569,1019696,576563,1596259
1985,12,23768,187153,296840,475163,39532,1022456,711682,1734138
1985,13,274574,1957004,3397431,5738262,524639,11891910,6407616,18299526
1986,1,25532,139666,321365,596098,51711,1134372,714417,1848789
1986,2,24416,148795,296172,563656,46884,1079923,670598,1750521
1986,3,25372,143535,309155,574356,39755,1092173,779563,1871736
1986,4,17924,106894,253786,508659,37059,924322,561453,1485775
1986,5,11783,93347,244317,571235,50886,971568,466752,1438320
1986,6,11176,72882,222265,553117,41180,900620,485754,1386374
1986,7,15746,108353,271587,568672,35285,999643,685360,1685003
1986,8,16393,142683,333016,646665,41420,1180177,767415,1947592
1986,9,15807,99829,303019,610515,39462,1068632,648118,1716750
