año,mes,hoteles zona 1,extrahoteleros zona 1,total zona 1,hoteles zona 2,extrahoteleros zona 2,total zona 2,hoteles zona 3,extrahoteleros zona 3,total zona 3,hoteles zona 4,extrahoteleros zona 4,total zona 4,hoteles total,extrahoteleros total,total
1978,1,38672,8278,46950,28882,20431,49313,536128,153423,689551,194095,294517,488612,797777,476649,1274426
1978,2,37232,7636,44868,26303,15767,42070,513566,137657,651223,162312,257664,419976,739413,418724,1158137
1978,3,42072,8189,50261,28200,20078,48278,509801,152530,662331,188868,261395,450263,768941,442192,1211133
1978,4,35009,8358,43367,19144,6584,25728,412872,96215,509087,135953,176184,312137,602978,287341,890319
1978,5,28341,8602,36943,10136,4307,14443,387780,89362,477142,117459,122202,239661,543716,224473,768189
1978,6,31647,8248,39895,8530,2580,11110,359355,116927,476282,111881,98022,209903,511413,225777,737190
1978,7,39677,8637,48314,13755,12795,26550,496170,173073,669243,117380,238808,356188,666982,433313,1100295
1978,8,42422,8614,51036,22241,21664,43905,560916,199512,760428,183112,266716,449828,808691,496506,1305197
1978,9,40231,8460,48691,9766,9458,19224,493389,184003,677392,122340,192883,315223,665726,394804,1060530
1978,10,36576,9238,45814,21064,9622,30686,496539,166672,663211,170212,211957,382169,724391,397489,1121880
1978,11,32906,9063,41969,27991,16065,44056,529306,183808,713114,183693,239219,422912,773896,448155,1222051
1978,12,38580,9233,47813,34569,20330,54899,503273,221231,724504,195707,284352,480059,772129,535146,1307275
1978,13,443365,102556,545921,250581,159681,410262,5799095,1874413,7673508,1883012,2643919,4526931,8376053,4780569,13156622
1979,1,39080,9580,48660,37382,28608,65990,577614,202993,780607,212859,296874,509733,866935,538055,1404990
1979,2,37211,8866,46077,35404,25721,61125,536906,190143,727049,144467,288707,433174,753988,513437,1267425
1979,3,34146,9869,44015,32159,24099,56258,564831,220539,785370,204251,256807,461058,835387,511314,1346701
1979,4,37820,9325,47145,23479,16272,39751,465529,185136,650665,160781,155774,316555,687609,366507,1054116
1979,5,29108,9585,38693,15596,7736,23332,338385,124568,462953,121288,76306,197594,504377,218195,722572
1979,6,36668,9220,45888,22132,6822,28954,324540,146855,471395,104939,98755,203694,488279,261652,749931
1979,7,32617,9485,42102,26933,15865,42798,426425,184559,610984,162298,137519,299817,648273,347428,995701
1979,8,31333,9713,41046,33346,23977,57323,514476,198473,712949,164382,196801,361183,743537,428964,1172501
1979,9,36119,9631,45750,28733,10683,39416,463031,195791,658822,145507,155417,300924,673390,371522,1044912
1979,10,38795,9711,48506,27326,15064,42390,443126,207441,650567,151455,146178,297633,660702,378394,1039096
1979,11,31167,9243,40410,25348,19818,45166,388187,174433,562620,161281,216685,377966,605983,420179,1026162
1979,12,30140,9734,39874,27354,20719,48073,379304,186580,565884,154118,243333,397451,590916,460366,1051282
